,as_number,date,ip_address,id,country,as_name
1224,17995,2022-01-03,202.51.122.163,481_2022-01-03_17995_202.51.122.163,ID,SOLUSINET-AS-ID PT iForte Global Internet
1225,20473,2022-01-05,216.238.71.31,1132_2022-01-05_20473_216.238.71.31,MX,AS-CHOOPA
1227,16276,2022-01-10,51.79.205.117,2737_2022-01-10_16276_51.79.205.117,SG,OVH
1228,17995,2022-01-04,202.51.122.163,810_2022-01-04_17995_202.51.122.163,ID,SOLUSINET-AS-ID PT iForte Global Internet
1229,209,2022-01-05,65.100.174.110,1119_2022-01-05_209_65.100.174.110,US,CENTURYLINK-US-LEGACY-QWEST
1230,52468,2022-01-10,190.61.46.106,2712_2022-01-10_52468_190.61.46.106,CO,UFINET PANAMA S.A.
1232,20473,2022-01-03,207.246.112.221,472_2022-01-03_20473_207.246.112.221,US,AS-CHOOPA
1235,60930,2022-01-09,45.9.20.200,2386_2022-01-09_60930_45.9.20.200,RU,INTEMMSK-AS
1238,16276,2022-01-10,37.59.74.180,2807_2022-01-10_16276_37.59.74.180,FR,OVH
1239,16276,2022-01-04,51.91.76.89,660_2022-01-04_16276_51.91.76.89,FR,OVH
1242,7922,2022-01-09,73.151.236.31,2356_2022-01-09_7922_73.151.236.31,US,COMCAST-7922
1243,13188,2022-01-09,159.224.167.102,2243_2022-01-09_13188_159.224.167.102,UA,TRIOLAN
1246,4800,2022-01-03,36.37.99.242,419_2022-01-03_4800_36.37.99.242,ID,LINTASARTA-AS-AP Network Access Provider and Internet Service Provider
1248,28009,2022-01-04,190.93.208.53,720_2022-01-04_28009_190.93.208.53,AR,Davitel S.A.
1250,262282,2022-01-09,177.52.26.233,2457_2022-01-09_262282_177.52.26.233,BR,MARIA LUCIANA MACHADO E CIA LTDA-ME
1251,133592,2022-01-03,103.139.242.30,639_2022-01-03_133592_103.139.242.30,IN,SPCTRM-AS-IN Spectram Telecom Pvt Ltd
1252,60771,2022-01-02,194.190.18.122,96_2022-01-02_60771_194.190.18.122,RU,COMITEN-AS
1253,197998,2022-01-08,91.243.125.5,1955_2022-01-08_197998_91.243.125.5,RU,AFKGROUP-AS
1254,59931,2022-01-06,109.75.64.100,1503_2022-01-06_59931_109.75.64.100,LB,LEBOL-AS
1255,3786,2022-01-09,211.172.241.52,2382_2022-01-09_3786_211.172.241.52,KR,LGDACOM LG DACOM Corporation
1256,16276,2022-01-08,142.44.247.57,1936_2022-01-08_16276_142.44.247.57,CA,OVH
1257,131207,2022-01-05,96.9.77.56,1052_2022-01-05_131207_96.9.77.56,KH,"SINET-KH SINET, Cambodias specialist Internet and Telecom Service Provider."
1258,133592,2022-01-09,103.139.242.30,2536_2022-01-09_133592_103.139.242.30,IN,SPCTRM-AS-IN Spectram Telecom Pvt Ltd
1259,14061,2022-01-02,134.209.247.135,263_2022-01-02_14061_134.209.247.135,DE,DIGITALOCEAN-ASN
1260,13124,2022-01-05,87.97.178.92,995_2022-01-05_13124_87.97.178.92,BG,IBGC
1262,14061,2022-01-07,167.172.119.42,1671_2022-01-07_14061_167.172.119.42,US,DIGITALOCEAN-ASN
1263,12301,2022-01-02,91.83.88.122,47_2022-01-02_12301_91.83.88.122,HU,INVITECH
1264,13489,2022-01-10,181.129.85.98,2777_2022-01-10_13489_181.129.85.98,CO,EPM Telecomunicaciones S.A. E.S.P.
1266,1221,2022-01-02,120.150.218.241,122_2022-01-02_1221_120.150.218.241,AU,ASN-TELSTRA Telstra Corporation Ltd
1268,262807,2022-01-07,186.250.48.123,1740_2022-01-07_262807_186.250.48.123,BR,Redfox Telecomunicacoes Ltda.
1270,133647,2022-01-02,45.116.106.45,193_2022-01-02_133647_45.116.106.45,IN,ELXIREDATA-AS-IN ELXIRE DATA SERVICES PVT. LTD.
1271,14080,2022-01-08,190.145.83.98,1984_2022-01-08_14080_190.145.83.98,CO,Telmex Colombia S.A.
1272,10269,2022-01-02,190.197.55.254,62_2022-01-02_10269_190.197.55.254,BZ,Belize Telemedia Limited
1275,51167,2022-01-07,164.68.99.3,1797_2022-01-07_51167_164.68.99.3,DE,CONTABO
1276,4621,2022-01-06,202.29.237.113,1505_2022-01-06_4621_202.29.237.113,TH,UNINET-AS-AP UNINET-
1277,132241,2022-01-08,103.8.26.103,2096_2022-01-08_132241_103.8.26.103,MY,SKSATECH1-MY SKSA TECHNOLOGY SDN BHD
