"id","as_name","as_number","country","date","ip_address"
"51_2022-12-25_6327_50.68.204.71","SHAW","6327","CA","2022-12-25","50.68.204.71"
"883_2022-01-04_262750_189.51.118.78","Byal Telecom Ltda","262750","BR","2022-01-04","189.51.118.78"
"2524_2022-01-09_43513_94.140.114.201","NANO-AS","43513","LV","2022-01-09","94.140.114.201"
"1569_2022-01-06_20115_24.178.196.158","CHARTER-20115","20115","US","2022-01-06","24.178.196.158"
"224_2022-12-22_12400_77.124.17.122","PARTNER-AS","12400","IL","2022-12-22","77.124.17.122"
"9_2022-12-25_14061_128.199.232.159","DIGITALOCEAN-ASN","14061","SG","2022-12-25","128.199.232.159"
"2727_2022-01-10_30689_72.252.201.34","FLOW-NET","30689","JM","2022-01-10","72.252.201.34"
"85_2022-12-25_11426_69.133.162.35","TWC-11426-CAROLINAS","11426","US","2022-12-25","69.133.162.35"
"44_2022-12-22_28573_179.158.103.236","Claro NXT Telecomunicacoes Ltda","28573","BR","2022-12-22","179.158.103.236"
"2690_2022-01-10_11888_201.172.31.95","""Television Internacional, S.A. de C.V.""","11888","MX","2022-01-10","201.172.31.95"
"39_2022-12-24_14061_174.138.33.49","DIGITALOCEAN-ASN","14061","US","2022-12-24","174.138.33.49"
"1055_2022-01-05_136883_103.109.247.9","IDNIC-UNUSA-AS-ID Universitas Nahdlatul Ulama Surabaya","136883","ID","2022-01-05","103.109.247.9"
"42_2022-12-24_5432_109.128.221.164","PROXIMUS-ISP-AS","5432","BE","2022-12-24","109.128.221.164"
"2549_2022-01-10_16276_37.187.115.122","OVH","16276","FR","2022-01-10","37.187.115.122"
"2276_2022-01-09_55769_144.48.139.206","""SEATELECOM-KH SOUTH EAST ASIA TELECOM (Cambodia) Co., LTD""","55769","KH","2022-01-09","144.48.139.206"
"22_2022-12-23_136883_103.109.247.10","IDNIC-UNUSA-AS-ID Universitas Nahdlatul Ulama Surabaya","136883","ID","2022-12-23","103.109.247.10"
"189_2022-12-21_6327_184.68.116.146","SHAW","6327","CA","2022-12-21","184.68.116.146"
"369_2022-01-03_17762_49.248.217.170","HTIL-TTML-IN-AP Tata Teleservices Maharashtra Ltd","17762","IN","2022-01-03","49.248.217.170"
"1449_2022-01-06_51167_207.180.220.242","CONTABO","51167","DE","2022-01-06","207.180.220.242"
"2084_2022-01-08_46034_103.74.143.53","DEPKES-AS-ID Departemen Kesehatan","46034","ID","2022-01-08","103.74.143.53"
"162_2022-01-02_17995_202.51.122.163","SOLUSINET-AS-ID PT iForte Global Internet","17995","ID","2022-01-02","202.51.122.163"
"44_2022-12-23_28573_179.158.103.236","Claro NXT Telecomunicacoes Ltda","28573","BR","2022-12-23","179.158.103.236"
"247_2022-01-02_27695_186.159.5.177","EDATEL S.A. E.S.P","27695","CO","2022-01-02","186.159.5.177"
"732_2022-01-04_63949_97.107.134.115","""LINODE-AP Linode, LLC""","63949","US","2022-01-04","97.107.134.115"
"40_2022-12-25_16276_51.83.250.102","OVH","16276","RU","2022-12-25","51.83.250.102"
"2015_2022-01-08_63949_50.116.62.25","""LINODE-AP Linode, LLC""","63949","US","2022-01-08","50.116.62.25"
"93_2022-12-21_16276_146.59.116.242","OVH","16276","FR","2022-12-21","146.59.116.242"
"337_2022-01-03_34123_185.94.172.15","NETORN-AS","34123","RU","2022-01-03","185.94.172.15"
"1499_2022-01-06_51582_46.55.222.11","DCC-","51582","BG","2022-01-06","46.55.222.11"
"2090_2022-01-08_52468_190.61.46.106","UFINET PANAMA S.A.","52468","CO","2022-01-08","190.61.46.106"
